,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
483,40.44,19.67,38.49,49.53,31.29,57.53,111.83,SQUARE_MILK_90
487,40.34,19.7,38.52,49.4,31.32,57.52,108.2,SQUARE_MILK_90
488,40.37,19.68,38.59,49.01,30.87,57.6,105.83,SQUARE_MILK_90
489,40.37,19.73,38.49,49.01,30.88,84.64,106.9,SQUARE_MILK_90
491,40.3,19.74,38.61,49.08,30.9,57.94,99.18,SQUARE_MILK_90
492,40.34,19.3,38.93,49.06,30.84,57.61,105.35,SQUARE_MILK_90
493,40.31,19.73,38.47,49.1,30.9,57.65,104.83,SQUARE_MILK_90
494,40.33,19.69,38.54,49.02,30.83,58.42,111.35,SQUARE_MILK_90
496,40.35,19.25,38.56,49.12,30.85,57.15,119.41,SQUARE_MILK_90
497,40.43,19.68,38.56,49.96,30.86,57.93,112.06,SQUARE_MILK_90
498,40.34,19.7,38.49,49.44,30.91,57.62,111.5,SQUARE_MILK_90
499,40.42,19.7,38.51,49.69,30.9,57.91,111.54,SQUARE_MILK_90
500,40.3,19.31,38.57,49.14,30.96,57.53,110.89,SQUARE_MILK_90
290,53.78,52.09,54.46,50.67,51.71,51.74,108.4,WALL_BALL
291,53.79,52.11,54.42,49.42,50.8,51.78,109.06,WALL_BALL
292,54.26,51.66,54.42,49.42,51.19,52.16,106.53,WALL_BALL
293,53.83,52.5,54.33,48.94,51.21,52.16,107.93,WALL_BALL
294,54.25,52.1,54.38,48.5,51.35,51.73,106.88,WALL_BALL
295,54.25,51.25,54.39,49.36,51.77,52.08,112.6,WALL_BALL
297,54.26,52.02,54.45,48.57,50.9,52.18,111.7,WALL_BALL
298,53.78,51.28,54.34,48.56,50.79,51.77,111.41,WALL_BALL
355,53.46,56.48,55.17,52.21,51.75,51.72,109.71,WALL_BALL
356,53.49,56.07,54.78,52.15,51.24,51.77,110.74,WALL_BALL
357,53.38,55.6,55.13,52.2,51.2,52.21,113.83,WALL_BALL
360,53.4,56.77,55.14,51.74,51.67,51.64,107.98,WALL_BALL
361,53.43,55.59,55.07,52.16,51.25,51.77,109.41,WALL_BALL
362,53.4,55.57,55.13,52.1,51.71,52.6,107.89,WALL_BALL
363,53.83,55.6,55.14,52.53,51.29,51.7,111.39,WALL_BALL
364,53.4,55.97,55.08,52.22,51.17,51.74,109.09,WALL_BALL
365,53.41,55.63,54.76,52.12,51.24,52.51,108.74,WALL_BALL
